,out_L,ds_CA,ds_ei,ds_mx_D,ds_avg_D,ds_bkf_W,ds_bkf_A,ds_cd_R,ds_wd_R,ds_bar,ds_jam,ds_bigT,ds_lwd,ds_xsD,ds_lwd_N,ds_poolD,ds_riffleD
Most Upstream,ds_hx1,0.019384,0.000236471,0.0245,0.041,-0.939375,-0.3505,0.604375,-1.4855,-2,-2,-4,-121,-7.081714286,-0.742728214,-15.834,-5.518
Short Distance ,hx2ds_3us,0.066007,0.000442189,-0.0425,-0.073625,-0.91925,-0.578875,1.580875,-0.187375,-4,0,2,13,4.350142857,0.281053445,11.83233333,9.470666667
Short Distance ,hx3ds_4us,0.010086,0.001909639,0.162,0.164125,-0.186875,0.534,-3.186,-2.236,0,1,-1,-20,-14.65865955,30.46949469,-5.987666667,-5.318333333
Short Distance ,hx4ds_5us,0.008968,5.7051E-05,-0.0405,-0.042875,0.447625,0.101125,0.141375,0.76725,3,-2,0,8,13.58494526,-30.59945788,2.681,-2.329333333
Short Distance ,ds_hx5,0.297458,0.001579734,0.105125,0.06025,-0.62,-0.008375,-1.01325,-1.141,-3,0,-1,-23,-1.321857143,-0.426546537,-3.162,-0.295666667
Industrial Area,ds_hx6,0.222782,0.0014355,-0.33475,-0.209125,0.047125,-1.06625,0.647125,1.6835,7,-2,-2,-1,0.460285714,0.452653595,-0.578333333,14.86433333
Industrial Area,ds_hx7,0.078292,0.002182996,-0.157194444,-0.20825,-0.922111111,-1.540638889,3.160444444,-0.019472222,-2,1,1,8,0.172125,-0.095776887,-39.37425,-5.860833333
HWY to Rail,hx8ds_9us,0.191683,0.000672673,-0.05325,0.013875,0.5125,0.4735,-1.554875,-0.370125,-3,0,-2,-18,-3.914428571,-0.35550208,-13.43233333,-7.168666667
HWY to Rail,ds_hx9,0.204874,0.000923263,0.2499,0.03775,-0.73875,0.1726,-0.6509,-2.65345,1,0,0,7,-0.7545,0.052502404,-13.719,2.939
HWY to Rail,ds_hx10,0.110893,0.00157196,0.022107143,0.014125,0.148803571,0.454875,1.723035714,0.555535714,0,1,4,25,2.809214286,0.670210203,9.046,10.69383333
HWY to Rail,ds_hx11,2.302402,0.02111347,-0.215819444,-0.133472222,-0.170402778,-0.992555556,0.923041667,0.997444444,-2,-1,1,12,5.392785714,-0.112858816,32.51680508,6.906
Least Disturbed,ds_hx12,0.188358,0.00178756,0.0845,0.017125,0.271875,0.417875,-0.534,0.11475,-2,0,-1,23,9.811,-0.02205218,27.37230339,22.378
Least Disturbed,ds_hx13,0.100778,0.00086246,0.259125,0.225375,1.698625,2.100875,-1.17125,0.672375,0,0,-1,-8,3.149285714,-0.07358858,11.07566667,7.798666667
Rd to FWY,ds_hx14,0.638468,0.00718927,0.304722222,0.041194444,0.337666667,0.464,-0.119277778,-0.343388889,1,-1,-1,8,-35.11758333,-0.012775372,-2.4665,-122.1966667
Rd to FWY,ds_hx15,0.117232,0.00087511,-0.127625,0.091375,-0.315125,-0.594375,-0.044916667,0.347748911,2,1,0,5,9.122571429,-0.104129065,1.602,27.63619001
